title,overview,release_date,genres,popularity,vote_average,vote_count
The Protector,"After fighting hard to be independent and happy, heiress Camille Logan finds her life threatened as a result of one of her father’s business deals. Camille isn’t prepared for the length her father will go to protect her, or for the man he hires to do the job.",2019-02-28,Romance,10.243,6.9,21
Red Rocket,"Finding himself down and out in Los Angeles, ex porn star Mikey Saber decides to crawl back to his hometown of Texas City, Texas, where his estranged wife and mother-in-law are living. Just as this dysfunctional family seems to be making things work, Mikey meets a young woman named Strawberry working the cash register at a local doughnut shop.",2021-12-10,Drama,10.235,6.8,307
The Christmas Secret,"While her life is falling apart, single mother Christine finds a magical family heirloom that leads to love and good fortune during Christmas.",2014-11-23,"Romance, Drama, Family, TV Movie",10.234,6.8,107
The Ron Clark Story,"A passionate and innovative teacher leaves his small hometown to teach in one of Harlem's toughest schools. But to break through to this students, Ron Clark must use unconventional methods, including his ground-breaking classroom rules, to drive them toward their potential.",2006-08-13,"TV Movie, Drama",10.234,7.4,89
Purity Falls,"After the tragic death of her husband, a mother moves her teenage son and daughter to the idyllic town of Purity Falls only to find the rift with her son deepen when he becomes entrapped in the neighborhood maven's nefarious home business.",2019-05-31,"Thriller, TV Movie",10.228,4.2,17
Z,A family find themselves terrorized by their eight-year-old son's imaginary friend.,2019-09-19,"Horror, Thriller",10.227,6.1,189
Redline,A gorgeous young automobile fanatic--and front to the hottest unsigned band on the West coast--finds herself caught up in illegal drag-racing competitions organized by exotic car fanatics,2007-04-13,"Action, Drama, Thriller",10.226,5.0,135
Trois: The Escort,"When a hip-hop promoter is bailed out of a hefty debt by a club owner, he becomes one of her call boys and nearly loses his life in the process.",2004-12-28,"Drama, Thriller, Romance",10.223,6.1,11
Flawless,"A female executive and a night janitor conspire to commit a daring diamond heist from their mutual employer, The London Diamond Corporation.",2007-09-01,"Crime, Drama, Thriller",10.221,6.6,448
Joe's Apartment,"A nice guy has just moved to New York and discovers that he must share his run-down apartment with a couple thousand singing, dancing cockroaches.",1996-07-26,"Comedy, Fantasy",10.221,5.6,293
Flying Home,"Colin, an ambitious young American businessman, has a deal with a potential client, a rich Arab sheikh who is a passionate pigeon fancier. The sheikh has tried several times to buy a champion pigeon, but the owner continues to stubbornly refuse his offer. In an attempt to gain the trust of the Sheikh, Colin offers him a deal: if he manages to convince the owner to sell the champion pigeon, the sheikh will agree to do business with Colin's company. But when Colin meets Jos, the grumpy owner of the pigeon, and Isabella, his granddaughter, he realizes that this mission will not be as easy as he had hoped.",2014-04-02,Romance,10.22,5.9,227
The Perfect Score,Six high school seniors decide to break into the Princeton Testing Center so they can steal the answers to their upcoming SAT tests and all get perfect scores.,2004-01-30,"Comedy, Crime",10.218,5.8,424
The Doom Generation,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex and violence-filled journey through a United States of psychos and quickie marts.",1995-10-27,"Comedy, Crime, Drama, Romance",10.209,6.3,206
Damsel,"Oregon, a small town near the sea, around 1870. Henry, a grieving man who aspires to preach as a way to overcome his unfortunate past, reunites with eccentric pioneer Samuel Alabaster, who has hired him to officiate at his marriage to the precious Penelope. What Henry ignores is that both must embark on a dangerous journey through the inhospitable wilderness to meet her.",2018-06-22,"Comedy, Western",10.209,5.3,132
Chopping Mall,"A group of teenagers that work at the mall all get together for a late night party in one of the stores. When the mall goes on lock down before they can get out, the robot security system activates after a malfunction and goes on a killing spree. One by one the three bots try to rid the mall of the “intruders.” The only weapons the kids can use are the supplies in other stores, or if they can make it till morning when the mall opens back up.",1986-03-21,"Horror, Science Fiction",10.206,5.8,298
Rock Dog 3: Battle the Beat,"After touring the world, Bodi takes some time off and returns to his village. When he learns that the girl group, K-9, doesn't know who rock legend Angus Scattergood is, he is compelled to join the musical competition show, “Battle the Beat,” to inspire a new generation of rock stars. But after joining the show, Bodi quickly realizes he has bitten off more than he can chew when he becomes an overnight TV personality sensation.",2023-02-02,"Animation, Adventure, Comedy",10.206,6.6,17
War Pigs,A rag tag unit of misfits known as the War Pigs must go behind enemy lines to exterminate Nazis by any means necessary.,2015-08-03,"War, Action",10.205,5.0,101
Air Bud: Spikes Back,Air Bud finds that he has the uncanny ability to play volleyball.,2003-07-01,"Comedy, Family",10.204,5.2,125
Cops & Robbersons,"Hard-as-nails cop, Jake Stone moves in with the Robbersons so he can watch a hitman who has moved in next door. The Hitman is one thing—but can you survive the Robberson family.",1994-04-15,"Comedy, Thriller, Crime",10.204,5.0,106
Whale Rider,"On the east coast of New Zealand, the Whangara people believe their presence there dates back a thousand years or more to a single ancestor, Paikea, who escaped death when his canoe capsized by riding to shore on the back of a whale. From then on, Whangara chiefs, always the first-born, always male, have been considered Paikea's direct descendants. Pai, an 11-year-old girl in a patriarchal New Zealand tribe, believes she is destined to be the new chief. But her grandfather Koro is bound by tradition to pick a male leader. Pai loves Koro more than anyone in the world, but she must fight him and a thousand years of tradition to fulfill her destiny.",2003-01-30,"Drama, Family",10.204,7.1,337
Valley Girl,"Julie, a girl from the valley, meets Randy, a punk from the city. They are from different worlds and find love. Somehow they need to stay together in spite of her trendy, shallow friends.",1983-04-08,"Comedy, Romance",10.204,5.9,188
The Forsaken,A young man is in a race against time as he searches for a cure after becoming infected with a virus that will eventually turn him into a blood-sucking vampire.,2001-04-27,"Horror, Thriller",10.203,5.3,140
The Toolbox Murders,"No one is safe when a killer, wielding the deadly contents of his toolbox, methodically stalks his prey.",1978-03-15,Horror,10.203,5.5,92
Shark Attack 2,"A biological experiment goes bad, this time releasing a gaggle of mutated great white sharks with a taste for human flesh. Soon enough, shark expert Nick West is on the case, leading a crew to study them and eventually bring them back into captivity. West's plans hit a snag, however, when Australian shark hunter Roy Bishop is called in to wipe out the fishy menace.",2001-02-13,"Horror, Action, Thriller",10.202,5.3,68
Absence of Malice,"Megan Carter is a reporter duped into running an untrue story on Michael Gallagher, a suspected racketeer. He has an alibi for the time his crime was allegedly committed—but it involves an innocent party. When he tells Carter the truth and the newspaper runs it, tragedy follows, forcing Carter to face up to the responsibilities of her job when she is confronted by Gallagher.",1981-11-19,"Drama, Romance, Thriller",10.199,6.6,170
Holding the Man,"Tim and John fell in love while teenagers at their all-boys high school. John was captain of the football team, Tim an aspiring actor playing a minor part in Romeo and Juliet. Their romance endured for 15 years in the face of everything life threw at it – the separations, the discrimination, the temptations, the jealousies and the losses – until the only problem that love can't solve tried to destroy them.",2015-08-27,Drama,10.198,7.7,424
Assault on Precinct 13,The lone inhabitants of an abandoned police station are under attack by the overwhelming numbers of a seemingly unstoppable street gang.,1976-11-05,"Thriller, Action, Crime",10.196,7.3,917
Furry Friends Forever: Elmo Gets a Puppy,"An upcoming animated Sesame Street special premiering on HBO Max on August 5, 2021. The special serves as an introduction to Tango, Elmo's new pet puppy.",2021-08-05,"Animation, Family",10.191,6.7,6
Emergency,"Ready for a night of legendary partying, three college students must weigh the pros and cons of calling the police when faced with an unexpected situation.",2022-05-20,"Comedy, Drama, Thriller",10.19,6.1,181
Employee of the Month,"When he hears that the new female employee digs ambitious men who are the store employee of the month, a slacker gets his act together but finds himself in competition with his rival, an ambitious co-worker.",2006-10-06,"Comedy, Romance",10.189,5.5,551
Drake & Josh Go Hollywood,"When Drake and Josh accidentally send their little sister Megan on a plane to L.A., they soon find themselves in the middle of a dangerous situation.",2006-01-06,"TV Movie, Family, Comedy, Adventure",10.187,7.1,184
The Walking Dead,"Five young marines on a suicide mission in Vietnam, struggle for survival in a jungle minefield. The mean streets of home did not prepare them for this.",1995-02-24,"Drama, War",10.187,6.8,18
Chillerama,"It's the closing night at the last drive-in theater in America and Cecil B. Kaufman has planned the ultimate marathon of lost film prints to unleash upon his faithful cinephile patrons. Four films so rare that they have never been exhibited publicly on American soil until this very night! With titles like Wadzilla, I Was a Teenage Werebear, The Diary of Anne Frankenstein, and Zom-B-Movie, Chillerama not only celebrates the golden age of drive-in B horror shlock but also spans over four decades of cinema with something for every bad taste.",2011-10-14,"Comedy, Horror",10.187,5.6,99
iParty with Victorious,Scorned girlfriends Carly and Tori hatch a plot against the boy that they are both dating.,2011-06-11,"TV Movie, Comedy, Family, Music",10.185,7.5,65
Bubble Boy,"Jimmy is a young man who was born without an immune system and has lived his life within a plastic bubble in his bedroom... who pines for the sweet caresses of girl-next-door Chloe. But when Chloe decides to marry her high school boyfriend, Jimmy – bubble suit and all – treks cross-country to stop her.",2001-08-24,"Comedy, Adventure, Romance",10.185,5.7,508
Son of the South,"Based on a true story, Bob Zellner, grandson of a Klansman, comes of age in the Deep South and eventually joins the Civil Rights Movement.",2021-02-05,"History, Drama",10.183,6.7,118
Absolution,"When a contract killer (Steven Seagal) encounters a girl on the run from a dangerous mob boss (Vinnie Jones) with powerful political ties, running a human trafficking operation, he is torn between protecting the girl, and remaining loyal to the government agency that hired him.",2015-05-04,"Action, Thriller, Adventure, Crime",10.181,4.8,81
American Honey,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",2016-09-30,Drama,10.18,6.8,761
Deep Web,"Deep Web gives the inside story of one of the most important and riveting digital crime sagas of the century -- the arrest of Ross William Ulbricht, the 30-year-old entrepreneur convicted of being 'Dread Pirate Roberts,' creator and operator of online black market Silk Road. As the only film with exclusive access to the Ulbricht family, Deep Web explores how the brightest minds and thought leaders behind the Deep Web and Bitcoin are now caught in the crosshairs of the battle for control of a future inextricably linked to technology, with our digital rights hanging in the balance.",2015-03-15,Documentary,10.179,6.8,252
Happy Birthday to Me,"Virginia is proud that she belongs to a clique. The best students at a private school. But before her 18th birthday, a gruesome set of murders take place and her friends are the ones who are falling prey. Could it be her? She suffers from blackouts due to a freak accident one year earlier. We soon learn the truth behind her accident and what is going on...",1981-05-15,"Drama, Horror, Thriller, Mystery",10.179,6.0,163
The Second Best Exotic Marigold Hotel,As the Best Exotic Marigold Hotel has only a single remaining vacancy - posing a rooming predicament for two fresh arrivals - Sonny pursues his expansionist dream of opening a second hotel.,2015-02-26,"Drama, Comedy",10.177,6.4,651
Going Down in LA-LA Land,A fresh face comes to Hollywood to act in movies but only the gay porn studios are eager to provide him with work.,2011-05-01,"Drama, Comedy, Romance",10.172,6.0,40
Frankenstein Meets the Wolf Man,"Grave robbers open the grave of the wolf man and awaken him. He doesn't like the idea of being immortal and killing people when the moon is full so tries to find Dr. Frankenstein, in the hopes that the doctor can cure him. Dr. Frankenstein has died; however, his monster is found.",1943-03-05,Horror,10.172,6.2,169
Mind Ripper,"A top secret experiment intended to produce a superhuman has gone terribly wrong. Now the creators, trapped in a remote desert outpost, are being pursued ruthlessly by their creation. With the door sealed from within, there is no way out.",1995-10-08,"Horror, Science Fiction, Thriller",10.171,4.4,51
Zoe,"Two colleagues at a revolutionary research lab design technology to improve and perfect romantic relationships. As their work progresses, their discoveries become more profound.",2018-07-19,"Science Fiction, Romance, Thriller",10.17,6.0,354
Kiss of the Damned,"Beautiful vampire Djuna tries to resist the advances of the handsome, human screenwriter Paolo, but eventually gives in to their passion. When her seductive and highly volatile sister Mimi unexpectedly comes to visit, she threatens Djuna's new relationship, and the whole vampire community becomes endangered.",2012-11-07,"Thriller, Horror, Romance",10.169,5.1,121
Contract to Kill,"Harmon is a CIA/DEA enforcer investigating Arab terrorists captured in Mexico. With his team--seductive FBI agent Zara and spy-drone pilot Sharp--he flies to Istanbul and uncovers a brutal plot: Islamic extremists plan to use Sonora drug-smuggling routes to bring deadly weapons, and leaders, into the U.S. To prevent an attack on America, Harmon must turn these two savage forces against one another before his time--and his luck--run out.",2016-12-09,"Adventure, Action",10.168,4.7,59
Christine,"In the 1970s, television reporter Christine Chubbuck struggles with depression and professional frustrations as she tries to advance her career.",2016-10-14,Drama,10.167,6.8,325
Angel Eyes,"A story about a seemingly unlikely couple who cross paths under life-threatening circumstances as though they are destined not only to meet but to save each other's lives. Not once, but twice.",2001-05-15,"Drama, Romance, Thriller",10.165,6.1,384
Bereavement,"In 1989, six year old Martin Bristoll was kidnapped from his backyard swing in Minersville Pennsylvania. Graham Sutter, a psychotic recluse, kept Martin imprisoned on his derelict pig farm, forcing him to witness and participate in unspeakable horrors. Chosen at random, his victim's screams were drowned out by the rural countryside. For five years, Martin's whereabouts have remained a mystery, until 17 year old Allison Miller comes to live with her Uncle, Jonathan. While exploring her new surroundings, Allison discovers things aren't quite right at the farmhouse down the road. Her curiosity disturbs a hornet's nest of evil and despair that once torn open, can never be closed.",2010-07-16,"Crime, Horror",10.162,5.2,150
Drowning Mona,"The recently deceased Mona Dearly was many things: an abusive wife, a domineering mother, a loud-mouthed neighbor and a violent malcontent. So when her car and corpse are discovered in the Hudson River, police Chief Wyatt Rash immediately suspects murder rather than an accident. But, since the whole community of Verplanck, N.Y., shares a deep hatred for this unceasingly spiteful woman, Rash finds his murder investigation overwhelmed with potential suspects.",2000-03-03,"Comedy, Crime, Mystery",10.16,5.5,143
Quarantine 2: Terminal,A plane is taken over by a mysterious virus. When the plane lands it is placed under quarantine. Now a group of survivors must band together to survive the quarantine.,2011-06-16,"Horror, Mystery, Science Fiction",10.16,5.7,487
Stitches,"The clumsy and unfunny clown Richard ""Stitches"" Grindle entertains at the 10th birthday party of little Tom, but the boy and his friends play a prank with Stitches, tying his shoelaces. Stitches slips, falls and dies. Six years later, Tom gives a birthday party for his friends at home, but Stitches revives to haunt the teenagers and revenge his death.",2012-05-19,Horror,10.159,6.3,377
The Rules of Attraction,"The incredibly spoiled and overprivileged students of Camden College are a backdrop for an unusual love triangle between a drug dealer, a virgin and a bisexual classmate.",2002-10-11,"Drama, Romance, Comedy",10.159,6.2,485
The Toxic Avenger,Tromaville has a monstrous new hero. The Toxic Avenger is born when mop boy Melvin Junko falls into a vat of toxic waste. Now evildoers will have a lot to lose.,1984-05-01,"Comedy, Horror, Science Fiction",10.156,6.3,451
Wonder Wheel,"The story of four characters whose lives intertwine amid the hustle and bustle of the Coney Island amusement park in the 1950s: Ginny, an emotionally volatile former actress now working as a waitress in a clam house; Humpty, Ginny’s rough-hewn carousel operator husband; Mickey, a handsome young lifeguard who dreams of becoming a playwright; and Carolina, Humpty’s long-estranged daughter, who is now hiding out from gangsters at her father’s apartment.",2017-12-01,"Drama, Romance",10.156,6.4,1236
The Grifters,"A young short-con grifter suffers both injury and the displeasure of reuniting with his criminal mother, all the while dating an unpredictable young lady.",1990-08-08,"Crime, Drama",10.154,6.6,333
End of a Gun,A mall security guard—and former federal agent—crosses paths with a drug kingpin's enforcer after the guard saves a woman from danger.,2016-09-23,"Action, Crime, Thriller",10.149,4.9,65
Scarecrow,"Two drifters bum around, visit earthy women and discuss opening a car wash in Pittsburgh.",1973-04-11,Drama,10.148,7.1,246
Turkey Shoot,"In the near future, after an unspecified holocaust, survivors are herded into prison camps. There, they are hunted for sport by the leaders of the camp. Paul, one of the newest prisoners, is determined not to go down as quietly as the others.",1982-03-25,"Horror, Science Fiction, Action",10.148,5.5,80
The Weather Man,"A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive.",2005-10-20,"Comedy, Drama",10.145,6.1,861
Blue Crush,"Nothing gets between Anne Marie and her board. Living in a beach shack with three roommates, she is up before dawn every morning to conquer the waves and count the days until the Pipe Masters competition. Having transplanted herself to Hawaii with no one's blessing but her own, Anne Marie finds all she needs in the adrenaline-charged surf scene - until pro quarterback Matt Tollman comes along...",2002-08-08,"Adventure, Romance, Drama",10.145,6.0,482
Sssssss,"David, a college student, is looking for a job. He is hired by Dr. Stoner as a lab assistant for his research and experiments on snakes. David also begins to fall for Stoner's young daughter, Kristina. However, the good doctor has secretly brewed up a serum that can transform any man into a King Cobra snake-and he plans to use it on David.",1973-07-06,"Horror, Science Fiction",10.144,5.2,79
The Killer,"After a fateful near-miss, an assassin battles his employers and himself on an international manhunt he insists isn't personal.",2023-11-10,"Action, Crime, Thriller",10.142,0.0,0
The Yakuza,"Harry Kilmer returns to Japan after several years in order to rescue his friend George's kidnapped daughter - and ends up on the wrong side of the Yakuza, the notorious Japanese mafia.",1974-12-21,"Action, Crime, Drama, Mystery, Thriller",10.14,7.1,151
Anchors Aweigh,"Two sailors, Joe and Clarence have four days shore leave in spend their shore leave trying to get a girl for Clarence. Clarence has his eye on a girl with musical aspirations, and before Joe can stop him, promises to get her an audition with José Iturbi. But the trouble really starts when Joe realizes he's falling for his buddy's girl.",1945-08-13,"Comedy, Fantasy, Music, Romance, War",10.14,6.7,141
The Company You Keep,A former Weather Underground activist goes on the run from a journalist who discovers his identity.,2012-09-06,"Drama, Thriller",10.14,6.1,625
A Christmas Prince: The Royal Wedding,"A year after Amber helped Richard secure the crown. The two are set to tie the knot in a royal Christmas wedding — but their plans are jeopardized when Amber finds herself second-guessing whether or not she's cut out to be queen, and Richard is faced with a political crisis that threatens to tarnish not only the holiday season but the future of the kingdom.",2018-11-30,"Romance, Comedy",10.139,6.4,868
Wonder Boys,Grady is a 50-ish English professor who hasn't had a thing published in years—not since he wrote his award winning 'Great American Novel' 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author.,2000-02-22,"Comedy, Drama",10.137,6.8,524
Don’t Leave Home,An American artist’s obsession with a disturbing urban legend leads her to an investigation of the story’s origins at the crumbling estate of a reclusive painter in Ireland.,2018-03-10,"Thriller, Mystery",10.137,4.7,51
Teen Spirit,"A shy teenager living on the Isle of Wight dreams of pop stardom. With the help of an unlikely mentor, she enters a singing competition that will test her integrity, talent, and ambition.",2019-04-12,"Music, Drama",10.133,6.1,286
Beyond a Reasonable Doubt,Remake of a 1956 Fritz Lang film in which a novelist's investigation of a dirty district attorney leads to a setup within the courtroom.,2009-02-05,Thriller,10.132,5.7,269
After the Ball,"After the Ball, a retail fairy tale set in the world of fashion. Kate's dream is to design for couturier houses. Although she is a bright new talent, Kate can't get a job. No one trusts the daughter of Lee Kassell, a retail guru who markets clothes ""inspired"" by the very designers Kate wants to work for. Who wants a spy among the sequins and stilettos? Reluctantly, Kate joins the family business where she must navigate around her duplicitous stepmother and two wicked stepsisters. But with the help of a prince of a guy in the shoe department her godmother's vintage clothes and a shocking switch of identities, Kate exposes the evil trio, saves her father's company -- and proves that everyone can wear a fabulous dress.",2015-02-27,Comedy,10.132,6.3,249
"Bob Ross: Happy Accidents, Betrayal & Greed",Bob Ross brought joy to millions as the world's most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,2021-08-25,Documentary,10.13,6.8,73
Birds of Paradise,"Two dancers at an elite ballet academy in Paris must compete for a contract to join the highly coveted Opéra National de Paris as they confront their competitive nature, sexual awakenings and how far they would go to win.",2021-09-23,Drama,10.129,6.7,122
Young Black Stallion,"When courageous young Neera becomes separated from her family in the desert, she chances upon a wild colt. Together they find friendship, trust, and their way back home only to discover her family is about to lose everything!",2003-12-25,"Adventure, Drama, Family",10.129,6.6,89
The Bachelor,"Jimmie is seeing his single friends get married one by one. He isn't too worried until his girlfriend Anne catches the bouquet at his friend Marco's wedding. Suddenly, his wild mustang days are numbered. He finally decides to propose to her, but he sticks his foot in his mouth and botches the proposal. Being insulted by the defeatist proposal, Anne leaves town on an assignment. After she's gone, he finds out that his recently-deceased grandfather's will stipulates that he gets nothing of a multi-million dollar fortune unless he's married by 6:05pm on his 30th birthday: tomorrow! Not being able to find Anne, Jimmie begins backtracking through his past girlfriends to find a wife.",1999-11-05,"Comedy, Romance",10.128,5.2,280
Eighth Grade,Thirteen-year-old Kayla endures the tidal wave of contemporary suburban adolescence as she makes her way through the last week of middle school — the end of her thus far disastrous eighth grade year — before she begins high school.,2018-01-19,"Comedy, Drama",10.128,7.2,1354
Felony,"Three detectives become embroiled in a tense struggle after a tragic accident that leaves a child in critical condition. One is guilty of a crime, one will try to cover it up, and the other attempts to expose it. How far will these men go to disguise and unravel the truth?",2014-08-28,"Mystery, Thriller, Crime",10.126,5.7,163
Naomi and Ely's No Kiss List,The bonds between Naomi and Ely are tested when they fall for the same guy.,2015-09-18,"Romance, Comedy",10.125,5.9,1045
The Sound of 007,"Pull back the curtain on the remarkable history of six decades of James Bond music,  from Sean Connery’s Dr No through to Daniel Craig’s final outing in No Time to Die.",2022-10-04,"Documentary, Music",10.125,7.0,28
The Boys in the Band,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.",2020-09-30,Drama,10.124,6.8,397
The Great Gilly Hopkins,"Wisecracking, gum-chewing 12-year-old Gilly is well known in the foster system. Totally unmanageable, she has stayed with more families than she can remember and has outwitted them all. After all, how can she settle down when her real mother, the beautiful and glamourous Courtney, might be out there waiting for her? When Gilly is sent to live with the Trotters, the weirdest family yet, she isn’t planning to stick around. But cheerful, affectionate Maime Trotter isn’t giving up on Gilly just yet...",2015-10-05,"Comedy, Drama, Family",10.122,6.6,217
Agatha and the Midnight Murders,"As bombs fall on London, writer Agatha Christie decides it is time to kill off her most famous creation.",2020-10-07,"Mystery, TV Movie",10.12,6.6,38
Jingle All the Way 2,Larry's daughter wants only one thing for Christmas - a talking bear. His daughter's step-dad intends to make sure that Larry can't get one.,2014-12-02,"Family, Comedy",10.119,5.5,86
Sniper 3,"Having taken out warlords, drug kingpins and international assassins, Thomas Beckett must now face the ultimate enemy, his best friend Paul Finnegan.",2004-10-19,"Drama, Action, Thriller",10.119,5.5,97
Amityville 1992: It's About Time,"When an old clock arrives at home as a gift, strange things begin to happen. The family that proudly assigned a privileged place to the clock in the living room, is unaware that this thing is a link to an old and evil house...",1992-07-16,Horror,10.118,4.5,94
Passport to Paris,"Sent to Paris to visit their grandfather, the twins fall in love with France, not to mention two French boys.",1999-11-09,"Comedy, Drama, Family",10.117,6.2,282
Stuck in the Suburbs,"Brittany Aarons  is one of the many girls who has a crush on popular singer and boy-toy Jordan Cahill. However, she is bored of living a suburban existence and seeks a little something more.",2004-07-16,"Family, Comedy, Music, TV Movie",10.114,6.0,198
Lost Boys: The Thirst,"Vampire hunter Edgar Frog is destitute and nearly friendless, when the beautiful novelist Gwen Lieber offers him a small fortune to go on a hunt to save her brother from vampires using a new drug called the Thirst, which is a mixture of Ecstasy and infected blood. Realising he can't do this alone, Edgar turns to his brother, Alan Frog, to help him save Gwen's brother.",2010-05-12,"Horror, Action, Comedy",10.114,5.1,99
Three Little Pigs,"The two pigs building houses of hay and sticks scoff at their brother, building the brick house. But when the wolf comes around and blows their houses down (after trickery like dressing as a foundling sheep fails), they run to their brother's house. And throughout, they sing the classic song, ""Who's Afraid of the Big Bad Wolf?"".",1933-05-27,"Music, Animation, Comedy, Family",10.113,6.8,337
The Signal,"A horror film told in three parts, from three perspectives, in which a mysterious transmission that turns people into killers invades every cell phone, radio, and television.",2008-02-22,"Horror, Science Fiction, Thriller",10.112,5.9,259
"Ultramarines: A Warhammer 40,000 Movie","A squad of Ultramarines answer a distress call from an Imperial Shrine World. A full Company of Imperial Fists was stationed there, but there is no answer from them. The squad investigates to find out what has happened there.",2010-12-10,"Animation, Science Fiction",10.111,5.8,109
Censor,"Film censor Enid takes pride in her meticulous work, guarding unsuspecting audiences from the deleterious effects of watching the gore-filled movies she pores over. Her sense of duty to protect is amplified by guilt over her inability to recall details of the long-ago disappearance of her sister. When Enid is assigned to review a disturbing film from the archive that echoes her hazy childhood memories, she begins to unravel how this eerie work might be tied to her past.",2021-06-11,Horror,10.11,5.8,298
Here Alone,"A woman struggles to survive on her own in the wake of a mysterious epidemic, which has decimated society and forced her deep into the unforgiving wild.",2016-09-16,"Horror, Thriller, Science Fiction",10.11,5.6,181
Bert Kreischer: Razzle Dazzle,"Shameless — and shirtless — as ever, Bert spills on bodily emissions, being bullied by his kids and the explosive end to his family's escape room outing.",2023-03-14,Comedy,10.109,7.6,12
The Last Detail,"Two Navy men are ordered to bring a young offender to prison, but decide to show him one last good time along the way.",1973-12-11,"Comedy, Drama",10.106,7.0,305
All Things Valentine,"Avery, a blogger with a string of disappointing Valentine’s Days, is ready to give up on love when she meets handsome veterinarian Brenden. When Avery finds out Brenden blames his recent break up on her blog and is the one leaving her angry comments, she begins to question whether the bond they’ve began to build is a true love story or yesterday’s news.",2016-01-31,"Romance, Comedy, TV Movie",10.106,6.0,69
Melody Time,"In the grand tradition of Disney's great musical classics, Melody Time features seven timeless stories, each enhanced with high-spirited music and unforgettable characters. You'll be sure to tap your toes and clap your hands in this witty feast for the eyes and ears.",1948-05-27,"Music, Family, Animation, Comedy",10.105,6.2,253
Almost Christmas,"Walter Meyer is a retired mechanic who lost the love of his life one year earlier. Now that the holiday season is here, he invites daughters Rachel and Cheryl and sons Christian and Evan to his house for a traditional celebration. Poor Walter soon realizes that if his bickering children and the rest of the family can spend five days together under the same roof, it will truly be a Christmas miracle.",2016-11-11,"Comedy, Drama",10.103,5.9,329
Peggy Sue Got Married,"Peggy Sue faints at a high school reunion. When she wakes up she finds herself in her own past, just before she finished school.",1986-10-10,"Comedy, Drama, Fantasy",10.102,6.1,478
Summer Lovers,"Michael Pappas and his girlfriend, Cathy, are enjoying the white sand beaches of a Greek island as well as the freewheeling nature of the locals. When Michael meets Lina, who is in Greece from Paris doing archaeological work, he is enamored with the beautiful foreigner. Cathy, unhappy about Lina getting close to Michael, confronts the woman -- only to be unexpectedly wooed by her charms as well.",1982-07-16,"Drama, Romance, Comedy",10.097,5.4,57
Pumping Iron,Amateur and professional bodybuilders prepare for the 1975 Mr. Olympia and Mr. Universe contests as five-time champion Arnold Schwarzenegger defends his Mr. Olympia title against Serge Nubret and the shy young Lou Ferrigno.,1977-01-18,Documentary,10.096,7.1,401
Bite the Bullet,"At the beginning of the 20th century, a newspaper organizes an endurance horse race : 700 miles to run in a few days. 9 adventurers are competing, among them a woman, Miss Jones, a Mexican, an Englishman, a young cow-boy, an old one and two friends, Sam Clayton and Luke Matthews. All those individualists will learn to respect each other.",1975-09-26,"Action, Western, Adventure",10.096,6.4,97
Vox Lux,"In 1999, teenage sisters Celeste and Eleanor survive a seismic, violent tragedy. The sisters compose and perform a song about their experience, making something lovely and cathartic out of a catastrophe - while also catapulting Celeste to stardom. By 2017, Celeste is a mother to a teenage daughter of her own and is struggling to navigate a career fraught with scandals when another act of terrifying violence demands her attention.",2018-09-07,"Drama, Music",10.092,5.9,432
The Riot Club,Two first-year students at Oxford University join a secret society and learn that their reputations can be made or destroyed over the course of one evening.,2014-09-19,Drama,10.087,5.9,934
Night Owls,"After workaholic Kevin has a drunken one night stand with the beautiful train-wreck Madeline, he's horrified to discover that she's actually his boss' jilted ex-mistress. When she takes a bottle of sleeping pills, Kevin is forced to keep her awake... and over the course of the night the two begin to fall for each other.",2015-12-04,"Drama, Comedy, Romance",10.084,6.3,65
A Kiss Before Dying,"Infatuated with the idea of becoming rich, college student Jonathan Corliss secretly dates Dorothy Carlsson to gain the approval of her wealthy father. When Dorothy tells Jonathan that she is pregnant and that her father will deny her inheritance if he finds out, Jonathan murders her, but he stages her death as a suicide. As Jonathan works his way onto Mr. Carlsson's payroll, Dorothy's twin sister, Ellen, investigates the apparent suicide.",1991-04-26,"Mystery, Thriller, Crime",10.084,5.5,104
Untamed Heart,"Caroline, a young waitress who seems to have bad taste in men, is on her way home one night when thugs attempt to rape her. Adam, the mysterious busboy who works at the same diner, helps fight off the assailants, and she begins a relationship with him -- but not all their fellow Minnesotans are happy for them. Meanwhile, the couple face their own difficulties when Caroline finds about Adam's past, including his unique health condition.",1993-02-12,"Comedy, Drama, Romance",10.074,6.9,194
Dr. Dolittle: Tail to the Chief,"Maya Dolittle is back in a heartwarming adventure of presidential proportions! Maya's dream of going to vet school is put on hold when she gets a call from the president of the United States. It seems the First Dog is out of control, and the president needs Maya's help. It's up to Maya and her own dog, Lucky, to stop a canine catastrophe from becoming a national crisis!",2008-03-04,"Comedy, Family, Fantasy",10.074,5.4,165
